epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.093,0.93344,1.64843,1.25869,0.81301,0.79448,0.81156,0.62336,1.03246,1.28826,1.29648,0.000473179,0.000473179,0.000473179
2,80.7146,0.99065,1.14588,1.24636,0.75221,0.62486,0.75838,0.56984,1.02018,1.55195,1.2496,0.000940112,0.000940112,0.000940112
3,116.682,0.99391,1.03636,1.24237,0.87197,0.81294,0.86404,0.62561,1.06608,1.07029,1.3339,0.00139761,0.00139761,0.00139761
4,151.633,0.99392,0.96836,1.25058,0.78814,0.69251,0.77662,0.56909,1.0777,1.22483,1.31595,0.00138656,0.00138656,0.00138656
5,187.19,0.95453,0.90194,1.22305,0.86129,0.79313,0.86695,0.6519,1.00905,0.88018,1.23414,0.00137241,0.00137241,0.00137241
6,221.751,0.95897,0.86766,1.22483,0.82785,0.79907,0.86359,0.65857,0.90278,1.09689,1.18234,0.00135826,0.00135826,0.00135826
7,255.395,0.93073,0.82879,1.20507,0.90668,0.82663,0.90112,0.71781,0.80056,0.69957,1.11781,0.00134412,0.00134412,0.00134412
8,289.078,0.89032,0.782,1.18266,0.89014,0.85946,0.903,0.72595,0.79619,0.69034,1.11317,0.00132997,0.00132997,0.00132997
9,324.169,0.89876,0.74418,1.191,0.8752,0.86128,0.90636,0.71466,0.89392,0.74318,1.15865,0.00131582,0.00131582,0.00131582
10,357.254,0.88865,0.72821,1.19001,0.91005,0.86919,0.91589,0.74919,0.77151,0.76717,1.0747,0.00130168,0.00130168,0.00130168
11,390.605,0.8769,0.70245,1.17106,0.9068,0.85864,0.91055,0.74631,0.77922,0.60068,1.08825,0.00128753,0.00128753,0.00128753
12,424.08,0.86618,0.68337,1.16377,0.8655,0.82177,0.89234,0.72026,0.76529,0.76657,1.09214,0.00127338,0.00127338,0.00127338
13,456.308,0.85131,0.70119,1.16278,0.9053,0.88372,0.9135,0.73977,0.77593,0.64006,1.08814,0.00125923,0.00125923,0.00125923
14,491.379,0.84497,0.68303,1.1582,0.92158,0.8482,0.91746,0.76257,0.75549,0.57037,1.07739,0.00124509,0.00124509,0.00124509
15,525.428,0.83169,0.65598,1.15164,0.88507,0.87656,0.90865,0.76052,0.72351,0.5464,1.06074,0.00123094,0.00123094,0.00123094
16,559.034,0.83501,0.65711,1.15293,0.9076,0.8886,0.92772,0.76761,0.71031,0.52496,1.06074,0.00121679,0.00121679,0.00121679
17,593.65,0.81952,0.66004,1.14601,0.91584,0.87574,0.9311,0.76636,0.68115,0.67849,1.04194,0.00120265,0.00120265,0.00120265
18,628.816,0.82734,0.64154,1.15399,0.8677,0.87993,0.91482,0.76587,0.6915,0.54595,1.05151,0.0011885,0.0011885,0.0011885
19,664.654,0.8025,0.62802,1.13748,0.91426,0.87091,0.92075,0.76646,0.71571,0.5442,1.05561,0.00117435,0.00117435,0.00117435
20,700.843,0.81961,0.63444,1.14629,0.87933,0.87048,0.91881,0.76435,0.70673,0.5703,1.0599,0.00116021,0.00116021,0.00116021
21,736.722,0.80528,0.62922,1.14385,0.88585,0.88443,0.90612,0.75351,0.69642,0.54285,1.05822,0.00114606,0.00114606,0.00114606
22,771.289,0.81039,0.62205,1.1409,0.8825,0.88753,0.9177,0.76203,0.77519,0.60169,1.08445,0.00113191,0.00113191,0.00113191
23,804.413,0.79753,0.62464,1.13661,0.85697,0.88693,0.91001,0.76865,0.696,0.62885,1.03383,0.00111776,0.00111776,0.00111776
24,840.132,0.78257,0.59727,1.13309,0.87456,0.90348,0.92758,0.7738,0.70047,0.53017,1.0424,0.00110362,0.00110362,0.00110362
25,874.388,0.79293,0.59622,1.13996,0.88884,0.89463,0.92586,0.77596,0.69155,0.51738,1.04902,0.00108947,0.00108947,0.00108947
26,910.267,0.78966,0.60084,1.13796,0.92465,0.8656,0.92098,0.7823,0.68167,0.55612,1.02763,0.00107532,0.00107532,0.00107532
27,945.119,0.76805,0.58669,1.11646,0.8862,0.89552,0.92573,0.78402,0.66951,0.51263,1.02404,0.00106118,0.00106118,0.00106118
28,980.537,0.77298,0.57888,1.12237,0.91142,0.89351,0.92301,0.77663,0.71719,0.52128,1.06049,0.00104703,0.00104703,0.00104703
29,1014.44,0.76785,0.57831,1.12556,0.91681,0.86283,0.92163,0.77395,0.66196,0.64318,1.03243,0.00103288,0.00103288,0.00103288
30,1047.7,0.7547,0.5667,1.11343,0.90565,0.90319,0.91988,0.78372,0.66603,0.46921,1.03196,0.00101873,0.00101873,0.00101873
31,1082.1,0.77141,0.58834,1.12517,0.9214,0.88327,0.92818,0.78567,0.67769,0.4565,1.03991,0.00100459,0.00100459,0.00100459
32,1117.27,0.75765,0.55741,1.11279,0.90072,0.91502,0.93051,0.7877,0.66735,0.46226,1.03755,0.00099044,0.00099044,0.00099044
33,1153.6,0.76702,0.56902,1.1166,0.93667,0.89402,0.93524,0.79044,0.62412,0.45283,1.00718,0.000976293,0.000976293,0.000976293
34,1187.89,0.74599,0.55236,1.10929,0.9199,0.89579,0.93386,0.7985,0.65115,0.46235,1.01494,0.000962146,0.000962146,0.000962146
35,1221.28,0.75288,0.55687,1.11404,0.89589,0.89402,0.92646,0.79268,0.6525,0.47,1.01648,0.000947999,0.000947999,0.000947999
36,1255.45,0.73986,0.53951,1.10961,0.92369,0.88082,0.93565,0.79586,0.65647,0.46446,1.01527,0.000933851,0.000933851,0.000933851
37,1291.24,0.71715,0.52224,1.09729,0.90732,0.91067,0.93908,0.79467,0.64998,0.48736,1.02134,0.000919704,0.000919704,0.000919704
38,1326.45,0.73917,0.5329,1.10875,0.92426,0.89829,0.93112,0.79655,0.69791,0.47992,1.0384,0.000905557,0.000905557,0.000905557
39,1361.2,0.73261,0.54934,1.10197,0.92265,0.89776,0.93438,0.80438,0.66094,0.48239,1.03053,0.00089141,0.00089141,0.00089141
40,1395.87,0.75094,0.53234,1.11052,0.91374,0.88594,0.92874,0.7986,0.6256,0.45222,1.00752,0.000877263,0.000877263,0.000877263
41,1430.77,0.72357,0.53179,1.10092,0.93141,0.88642,0.93322,0.79954,0.64299,0.47376,1.02151,0.000863116,0.000863116,0.000863116
42,1463.82,0.73501,0.53584,1.10638,0.89902,0.91888,0.93584,0.79732,0.6477,0.45646,1.02404,0.000848969,0.000848969,0.000848969
43,1496.51,0.73963,0.53668,1.10887,0.9027,0.89402,0.9243,0.79551,0.6108,0.45461,0.99848,0.000834822,0.000834822,0.000834822
44,1531.89,0.72543,0.53295,1.09834,0.89864,0.90762,0.92761,0.79682,0.6467,0.46653,1.01832,0.000820675,0.000820675,0.000820675
45,1565.53,0.72337,0.53022,1.09478,0.94253,0.88354,0.93827,0.80364,0.609,0.42531,0.98824,0.000806528,0.000806528,0.000806528
46,1599.97,0.71848,0.52296,1.09413,0.92941,0.90774,0.93919,0.80524,0.62171,0.42932,0.99999,0.00079238,0.00079238,0.00079238
47,1635.31,0.73514,0.53127,1.10636,0.92136,0.91043,0.93986,0.80813,0.61523,0.4618,1.00101,0.000778233,0.000778233,0.000778233
48,1669.28,0.71208,0.51438,1.09323,0.89893,0.91358,0.93335,0.80159,0.61129,0.48821,1.00729,0.000764086,0.000764086,0.000764086
49,1704.45,0.70653,0.51917,1.09323,0.9093,0.90229,0.92914,0.79824,0.6227,0.46871,1.01343,0.000749939,0.000749939,0.000749939
50,1737.46,0.72483,0.52535,1.09766,0.90862,0.91944,0.94196,0.80523,0.62801,0.41934,1.00038,0.000735792,0.000735792,0.000735792
