epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1924,0.93284,1.7972,1.38578,0.84271,0.75165,0.83243,0.61459,1.02339,1.46298,1.6141,0.000473179,0.000473179,0.000473179
2,84.4149,0.98627,1.26485,1.38517,0.57457,0.51881,0.54692,0.34963,1.60405,2.03277,1.99624,0.000940112,0.000940112,0.000940112
3,124.252,1.0128,1.11941,1.40236,0.73956,0.75703,0.78788,0.59544,1.05246,1.10642,1.61816,0.00139761,0.00139761,0.00139761
4,163.062,1.0181,1.01638,1.40667,0.79781,0.77705,0.81339,0.56629,1.11484,1.3118,1.66864,0.00138656,0.00138656,0.00138656
5,201.544,0.95542,0.92024,1.35668,0.66208,0.62615,0.68351,0.37634,1.62091,1.38978,2.2214,0.00137241,0.00137241,0.00137241
6,239.962,0.95222,0.87945,1.36608,0.88199,0.85382,0.90115,0.69548,0.89437,0.77633,1.4315,0.00135826,0.00135826,0.00135826
7,277.466,0.93428,0.83479,1.34174,0.73908,0.75275,0.79617,0.59225,0.95129,1.10414,1.51848,0.00134412,0.00134412,0.00134412
8,314.175,0.89874,0.80611,1.32193,0.89281,0.82297,0.87548,0.67792,0.89199,0.84028,1.43377,0.00132997,0.00132997,0.00132997
9,351.247,0.89698,0.77886,1.32852,0.86739,0.80527,0.87173,0.68797,0.85798,0.83381,1.41132,0.00131582,0.00131582,0.00131582
10,388.648,0.88996,0.75763,1.32158,0.86286,0.8687,0.90962,0.72538,0.80762,0.76492,1.35697,0.00130168,0.00130168,0.00130168
11,425.174,0.87371,0.72418,1.3,0.92539,0.84916,0.90758,0.72817,0.79893,0.68597,1.3335,0.00128753,0.00128753,0.00128753
12,461.5,0.87696,0.71001,1.30289,0.90142,0.86908,0.92231,0.73567,0.77867,0.64972,1.30924,0.00127338,0.00127338,0.00127338
13,498.516,0.85712,0.71753,1.29527,0.89118,0.76621,0.8611,0.61222,1.02145,0.88242,1.58846,0.00125923,0.00125923,0.00125923
14,537.926,0.84537,0.67727,1.2829,0.89987,0.85281,0.91106,0.741,0.7767,0.63385,1.30546,0.00124509,0.00124509,0.00124509
15,574.875,0.8345,0.66205,1.27989,0.92415,0.8671,0.91802,0.75221,0.74096,0.57274,1.28384,0.00123094,0.00123094,0.00123094
16,611.873,0.83119,0.66617,1.28084,0.9193,0.87055,0.92199,0.75867,0.71611,0.56937,1.26879,0.00121679,0.00121679,0.00121679
17,652.16,0.82312,0.67089,1.27003,0.91032,0.85838,0.91822,0.73992,0.75023,0.62276,1.29499,0.00120265,0.00120265,0.00120265
18,691.575,0.81866,0.65569,1.2726,0.90453,0.86868,0.91381,0.74937,0.75604,0.60807,1.30606,0.0011885,0.0011885,0.0011885
19,731.233,0.799,0.61659,1.25138,0.94938,0.86623,0.92694,0.76533,0.74436,0.56169,1.28667,0.00117435,0.00117435,0.00117435
20,770.745,0.81649,0.63783,1.26365,0.89698,0.86591,0.90492,0.75187,0.72663,0.59206,1.27487,0.00116021,0.00116021,0.00116021
21,810.338,0.80603,0.63748,1.26243,0.9268,0.84779,0.90965,0.75203,0.74725,0.58386,1.29161,0.00114606,0.00114606,0.00114606
22,849.315,0.80273,0.6222,1.25411,0.91984,0.88211,0.92258,0.77421,0.68977,0.5441,1.25173,0.00113191,0.00113191,0.00113191
23,888.438,0.78933,0.61699,1.24804,0.8964,0.89702,0.92458,0.77392,0.70234,0.54699,1.24166,0.00111776,0.00111776,0.00111776
24,927.111,0.77652,0.59974,1.25373,0.90483,0.87817,0.91415,0.76481,0.70069,0.55037,1.25892,0.00110362,0.00110362,0.00110362
25,966.094,0.77973,0.58853,1.24738,0.90555,0.87316,0.91841,0.77094,0.72126,0.54703,1.26217,0.00108947,0.00108947,0.00108947
26,1005.63,0.78277,0.60382,1.24497,0.92845,0.87633,0.92869,0.7771,0.70183,0.5513,1.23322,0.00107532,0.00107532,0.00107532
27,1042.18,0.76347,0.58521,1.22922,0.91174,0.88016,0.92051,0.77164,0.69031,0.58305,1.23719,0.00106118,0.00106118,0.00106118
28,1080.06,0.76718,0.57883,1.23515,0.905,0.87632,0.92093,0.76891,0.73914,0.57533,1.26629,0.00104703,0.00104703,0.00104703
29,1115.7,0.76309,0.57173,1.23439,0.91085,0.8555,0.92167,0.75929,0.83396,0.60543,1.32358,0.00103288,0.00103288,0.00103288
30,1151.33,0.75477,0.55947,1.21898,0.89375,0.86211,0.90604,0.77685,0.6978,0.55847,1.25412,0.00101873,0.00101873,0.00101873
31,1188.41,0.76997,0.59108,1.23368,0.90318,0.89824,0.92101,0.77089,0.68923,0.53572,1.24595,0.00100459,0.00100459,0.00100459
